"A0A1D2M2P3" "PTHR31905" "AN60"
"A0A0D2R5Y4" "PTHR12866" "AN214"
"A0A0D2SWK7" "PTHR10598" "AN195"
"F6ZY41" "PTHR21580" "AN293"
"A0A5F4VTZ5" "PTHR21859" "AN12"
"U3CAL7" "PTHR12847" "AN275"
"A0A0D2RGQ0" "PTHR31715" "AN110"
"A0A5F4W530" "PTHR12522" "AN50"
"A0A0D2QKP6" "PTHR32285" "AN1176"
"F7EEH9" "PTHR12959" "AN15"
"A0A1D2NH49" "PTHR23193" "AN3"
"A0A8I3W9W9" "PTHR11505" "AN60"
"A0A2H3DZL8" "PTHR12283" "AN133"
"F7FEP2" "PTHR10760" "AN52"
"H9KVW0" "PTHR43172" "AN37"
"A0A0D2UIX6" "PTHR47979" "AN1763"
"A0A2R8MKZ4" "PTHR12994" "AN103"
"A0A0D2VH64" "PTHR19957" "AN980"
"A0A0D2T0R4" "PTHR47640" "AN772"
"A0A0D2URD7" "PTHR45496" "AN238"
"A0A0D2SJZ7" "PTHR46870" "AN57"
"A0A2H3CK63" "PTHR45871" "AN104"
"A0A0D2M9U7" "PTHR33346" "AN105"
"A0A1D2N7Y0" "PTHR21068" "AN59"
"A0A0D2PQ72" "PTHR16875" "AN134"
"A0A0D2PMK3" "PTHR13902" "AN1199"
"A0A0D2UXS1" "PTHR42879" "AN57"
"F7BED0" "PTHR13140" "AN1514"
"F6QR75" "PTHR11902" "AN450"
"A0A0D2TTS5" "PTHR31780" "AN236"
"Q0S2J7" "PTHR37323" "AN9"
"A0A2R8MU18" "PTHR10560" "AN7"
"A0A1D2NC91" "PTHR42972" "AN20"
"A0A0D2RL11" "PTHR31818" "AN94"
"A0A0D2UGZ7" "PTHR21659" "AN288"
"A0A0D2SRF3" "PTHR10961" "AN317"
"A0A0D2V6X8" "PTHR34282" "AN59"
"A0A0D2NMJ5" "PTHR23063" "AN574"
"A0A2H3DQI5" "PTHR46648" "AN45"
"A0A2R8PB10" "PTHR11835" "AN104"
"F7GW91" "PTHR46957" "AN90"
"A0A0D2NJA2" "PTHR12313" "AN622"
"Q0SGW0" "PTHR43571" "AN157"
"A0A2H3DTD5" "PTHR34315" "AN4"
"A0A0D2T7H9" "PTHR48014" "AN608"
"A0A1D2NES5" "PTHR11909" "AN2155"
"A0A0D2VL11" "PTHR24093" "AN773"
"A0A1D2MLD3" "PTHR13204" "AN52"
"A0A0D2UY89" "PTHR33463" "AN843"
"A0A0D2T298" "PTHR37214" "AN59"
